bin 20000 de 0.00773635
threshold 0
3.69024 6.42353e-08 1.41498e-07
3.69797 6.41608e-08 1.41498e-07
3.70571 6.40865e-08 1.41499e-07
3.71345 6.40124e-08 1.415e-07
3.72118 6.39384e-08 1.415e-07
3.72892 6.38645e-08 1.41501e-07
3.73666 6.37908e-08 1.41501e-07
3.74439 6.37172e-08 1.41502e-07
3.75213 6.36438e-08 1.41502e-07
3.75987 6.35706e-08 1.41503e-07
3.7676 6.34974e-08 1.41504e-07
3.77534 6.34245e-08 1.41504e-07
3.78307 6.33516e-08 1.41505e-07
3.79081 6.3279e-08 1.41506e-07
3.79855 6.32064e-08 1.41506e-07
3.80628 6.3134e-08 1.41507e-07
3.81402 6.30618e-08 1.41507e-07
3.82176 6.29897e-08 1.41508e-07
3.82949 6.29178e-08 1.41509e-07
3.83723 6.2846e-08 1.41509e-07
3.84496 6.27743e-08 1.4151e-07
3.8527 6.27028e-08 1.41511e-07
3.86044 6.26314e-08 1.41512e-07
3.86817 6.25602e-08 1.41512e-07
3.87591 6.24891e-08 1.41513e-07
3.88365 6.24182e-08 1.41514e-07
3.89138 6.23474e-08 1.41514e-07
3.89912 6.22767e-08 1.41515e-07
3.90686 6.22062e-08 1.41516e-07
3.91459 6.21358e-08 1.41517e-07
3.92233 6.20656e-08 1.41517e-07
3.93006 6.19955e-08 1.41518e-07
3.9378 6.19255e-08 1.41519e-07
3.94554 6.18557e-08 1.4152e-07
3.95327 6.17861e-08 1.4152e-07
3.96101 6.17165e-08 1.41521e-07
3.96875 6.16471e-08 1.41522e-07
3.97648 6.15779e-08 1.41523e-07
3.98422 6.15088e-08 1.41523e-07
3.99196 6.14398e-08 1.41524e-07
3.99969 6.13709e-08 1.41525e-07
4.00743 6.13022e-08 1.41526e-07
4.01516 6.12337e-08 1.41527e-07
4.0229 6.11653e-08 1.41527e-07
4.03064 6.1097e-08 1.41528e-07
4.03837 6.10288e-08 1.41529e-07
4.04611 6.09608e-08 1.4153e-07
4.05385 6.08929e-08 1.41531e-07
4.06158 6.08252e-08 1.41531e-07
4.06932 6.07576e-08 1.41532e-07
4.07706 6.06901e-08 1.41533e-07
4.08479 6.06227e-08 1.41534e-07
4.09253 6.05555e-08 1.41535e-07
4.10026 6.04885e-08 1.41535e-07
4.108 6.04215e-08 1.41536e-07
4.11574 6.03547e-08 1.41537e-07
4.12347 6.0288e-08 1.41538e-07
4.13121 6.02215e-08 1.41539e-07
4.13895 6.01551e-08 1.4154e-07
4.14668 6.00888e-08 1.4154e-07
4.15442 6.00227e-08 1.41541e-07
4.16216 5.99566e-08 1.41542e-07
4.16989 5.98908e-08 1.41543e-07
4.17763 5.9825e-08 1.41544e-07
4.18536 5.97594e-08 1.41545e-07
4.1931 5.96939e-08 1.41545e-07
4.20084 5.96285e-08 1.41546e-07
4.20857 5.95633e-08 1.41547e-07
4.21631 5.94982e-08 1.41548e-07
4.22405 5.94332e-08 1.41549e-07
4.23178 5.93684e-08 1.4155e-07
4.23952 5.93037e-08 1.4155e-07
4.24726 5.92391e-08 1.41551e-07
4.25499 5.91746e-08 1.41552e-07
4.26273 5.91103e-08 1.41553e-07
4.27046 5.90461e-08 1.41554e-07
4.2782 5.8982e-08 1.41555e-07
4.28594 5.8918e-08 1.41555e-07
4.29367 5.88542e-08 1.41556e-07
4.30141 5.87905e-08 1.41557e-07
4.30915 5.87269e-08 1.41558e-07
4.31688 5.86635e-08 1.41559e-07
4.32462 5.86001e-08 1.41559e-07
4.33235 5.85369e-08 1.4156e-07
4.34009 5.84738e-08 1.41561e-07
4.34783 5.84109e-08 1.41562e-07
4.35556 5.83481e-08 1.41563e-07
4.3633 5.82853e-08 1.41564e-07
4.37104 5.82228e-08 1.41564e-07
4.37877 5.81603e-08 1.41565e-07
4.38651 5.8098e-08 1.41566e-07
4.39425 5.80357e-08 1.41567e-07
4.40198 5.79736e-08 1.41568e-07
4.40972 5.79117e-08 1.41568e-07
4.41745 5.78498e-08 1.41569e-07
4.42519 5.77881e-08 1.4157e-07
4.43293 5.77265e-08 1.41571e-07
4.44066 5.7665e-08 1.41572e-07
4.4484 5.76036e-08 1.41572e-07
4.45614 5.75423e-08 1.41573e-07
4.46387 5.74812e-08 1.41574e-07
4.47161 5.74202e-08 1.41575e-07
4.47935 5.73593e-08 1.41576e-07
4.48708 5.72985e-08 1.41576e-07
4.49482 5.72379e-08 1.41577e-07
4.50255 5.71773e-08 1.41578e-07
4.51029 5.71169e-08 1.41579e-07
4.51803 5.70566e-08 1.41579e-07
4.52576 5.69964e-08 1.4158e-07
4.5335 5.69363e-08 1.41581e-07
4.54124 5.68764e-08 1.41582e-07
4.54897 5.68166e-08 1.41583e-07
4.55671 5.67568e-08 1.41583e-07
4.56445 5.66972e-08 1.41584e-07
4.57218 5.66377e-08 1.41585e-07
4.57992 5.65784e-08 1.41586e-07
4.58765 5.65191e-08 1.41586e-07
4.59539 5.64599e-08 1.41587e-07
4.60313 5.64009e-08 1.41588e-07
4.61086 5.6342e-08 1.41589e-07
4.6186 5.62832e-08 1.41589e-07
4.62634 5.62245e-08 1.4159e-07
4.63407 5.61659e-08 1.41591e-07
4.64181 5.61074e-08 1.41591e-07
4.64955 5.60491e-08 1.41592e-07
4.65728 5.59908e-08 1.41593e-07
4.66502 5.59327e-08 1.41594e-07
4.67275 5.58747e-08 1.41594e-07
4.68049 5.58168e-08 1.41595e-07
4.68823 5.5759e-08 1.41596e-07
4.69596 5.57013e-08 1.41596e-07
4.7037 5.56437e-08 1.41597e-07
4.71144 5.55863e-08 1.41598e-07
4.71917 5.55289e-08 1.41598e-07
4.72691 5.54717e-08 1.41599e-07
4.73464 5.54145e-08 1.416e-07
4.74238 5.53575e-08 1.416e-07
4.75012 5.53006e-08 1.41601e-07
4.75785 5.52438e-08 1.41602e-07
4.76559 5.51871e-08 1.41602e-07
4.77333 5.51305e-08 1.41603e-07
4.78106 5.5074e-08 1.41604e-07
4.7888 5.50176e-08 1.41604e-07
4.79654 5.49614e-08 1.41605e-07
4.80427 5.49052e-08 1.41606e-07
4.81201 5.48492e-08 1.41606e-07
4.81974 5.47932e-08 1.41607e-07
4.82748 5.47374e-08 1.41608e-07
4.83522 5.46816e-08 1.41608e-07
4.84295 5.4626e-08 1.41609e-07
4.85069 5.45705e-08 1.41609e-07
4.85843 5.45151e-08 1.4161e-07
4.86616 5.44597e-08 1.41611e-07
4.8739 5.44045e-08 1.41611e-07
4.88164 5.43494e-08 1.41612e-07
4.88937 5.42944e-08 1.41612e-07
4.89711 5.42395e-08 1.41613e-07
4.90484 5.41847e-08 1.41613e-07
4.91258 5.413e-08 1.41614e-07
4.92032 5.40754e-08 1.41615e-07
4.92805 5.4021e-08 1.41615e-07
4.93579 5.39666e-08 1.41616e-07
